전통주명,도수,규격,주원료,제조사
메밀로,45,500ml,"국내산 쌀, 메밀, 누룩, 정제수",두루
민속주 안동소주,45,400ml,"국내산 쌀, 누룩, 정제수",민속주안동소주
명인 안동소주 양반탈,45,800ml,"국내산 쌀, 누룩, 정제수",명인안동소주
삼해소주,45,400ml,"멥쌀, 찹쌀, 누룩",㈜삼해소주
추사47,47,500ml,"예산사과(100%), 효모",
송로주,48,700ml,"멥쌀, 솔옹이, 솔잎, 복령",송로주
강소주,50,"200ml, 1800ml","국내산 쌀, 정제수",내국양조
신례명주,50,750ml,"제주산감귤, 감귤 증류주",시트러스
고운달 백자,52,500ml,오미자(문경산),오미나라
고운달 오크,52,500ml,오미자(문경산),오미나라
이상헌 소주,52,500ml,증류소주원액,농업회사법인 이가수불㈜
예술주조 `무작`,53,350ml,"홍천쌀, 밀누룩, 정제수",예술주조
독산 53,53,250ml,"국내산 쌀, 누룩, 효모, 정제수",오산양조
이담,55,700ml,"국내산 쌀, 국내산 배",배혜정도가
주향아라,55,500ml,"쌀, 국, 효모, 정제수",농업회사법인 담을
부자,10,375ml,"쌀, 정제수, 고과당, 효모 등",배혜정도가
부자,13,375ml,"쌀, 정제수, 고과당, 효모 등",배혜정도가
부자,16,375ml,"쌀, 정제수, 고과당, 효모 등",배혜정도가
매실원주 허니,13,300ml,"국내산 황매  80%, 청매20%",더한주류
매실원주 허니,15,300ml,"국내산 황매  80%, 청매20%",더한주류
매실원주 허니,20,300ml,"국내산 황매  80%, 청매20%",더한주류
The 찾을수록,14,360ml,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",㈜한국애플리즈
"전주이강주25%, 19%",19,"19-375ml, 25-500ml",국내산 쌀,전주이강주
"전주이강주25%, 19%",25,"19-375ml, 25-500ml",국내산 쌀,전주이강주
"진심홍삼인삼주 38%, 19%",19,"19-375ml, 38-750ml","국내산 쌀, 국내산 지초",(농)㈜태평주가
"진심홍삼인삼주 38%, 19%",38,"19-375ml, 38-750ml","국내산 쌀, 국내산 지초",(농)㈜태평주가
"명인안동소주 35%, 45%",22,"22, 35-360ml, 45-400ml, 600ml, 800ml",국내산 쌀,명인안동소주
"명인안동소주 35%, 45%",35,"22, 35-360ml, 45-400ml, 600ml, 800ml",국내산 쌀,명인안동소주
"명인안동소주 35%, 45%",45,"22, 35-360ml, 45-400ml, 600ml, 800ml",국내산 쌀,명인안동소주
미르,25,375ml,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘
미르,40,375ml,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘
미르,54,375ml,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘
풍정사계 동(冬),25,375ml,"찹쌀, 향온곡",화양
풍정사계 동(冬),45,375ml,"찹쌀, 향온곡",화양
고소리술,29,"29-750ml, 40-375ml, 400ml","제주산 좁쌀53%, 국내산 쌀 47%",제주샘주
고소리술,40,"29-750ml, 40-375ml, 400ml","제주산 좁쌀53%, 국내산 쌀 47%",제주샘주
"진도홍주 아라리35%, 루비콘40%",35,"375ml, 500ml, 700ml","국내산 쌀, 국내산 지초",대대로영농조합법인
"진도홍주 아라리35%, 루비콘40%",40,"375ml, 500ml, 700ml","국내산 쌀, 국내산 지초",대대로영농조합법인
한주,35,700ml,국내산 쌀,한주양조
한주,45,700ml,국내산 쌀,한주양조
포항불로주,35,"35-750ml, 45-800ml",국내산 쌀,불로주
포항불로주,45,"35-750ml, 45-800ml",국내산 쌀,불로주
소호,36.5,"350ml, 750ml","평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎",밝은세상영농조합
소호,56,"350ml, 750ml","평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎",밝은세상영농조합
"화요 41%, 25%, 17%",17,"375ml, 500ml, 750ml",국내산 쌀,㈜화요
"화요 41%, 25%, 17%",25,"375ml, 500ml, 750ml",국내산 쌀,㈜화요
"화요 41%, 25%, 17%",41,"375ml, 500ml, 750ml",국내산 쌀,㈜화요
